*the_geom:MultiLineString,Length:String
"MULTILINESTRING ((115.74049749246537 39.53652241560416, 115.74117797168607 39.53584261896887))",0.095
"MULTILINESTRING ((115.74728718055896 39.55050614946648, 115.74721716653902 39.55043618400994, 115.74643703524102 39.54954661780945, 115.74612698946909 39.549166799935115, 115.74562692054599 39.548527105868466, 115.74550690601893 39.54836718212698, 115.74547690193755 39.54832720096682, 115.74525687920163 39.548017346750406, 115.74506685964786 39.547747473694194, 115.74489684821106 39.54747759794003, 115.74466683220862 39.54711776480025, 115.74408680905901 39.54613821423441, 115.74385681194236 39.545698413378304))",0.612
"MULTILINESTRING ((115.74165804688141 39.53645232783986, 115.74049749246537 39.53652241560416))",0.100
"MULTILINESTRING ((115.75049032017216 39.543708545540184, 115.75237179542205 39.54125933637649, 115.75502395369257 39.537560549806706, 115.75534419867586 39.537180668979886, 115.75556440757146 39.53676081508672))",0.886
"MULTILINESTRING ((115.74832622487541 39.515939858564685, 115.74832618980192 39.51607980296761, 115.74829613266049 39.51624973796206, 115.74817599852359 39.516559625453375, 115.74812594675507 39.51666958645931, 115.74795577074224 39.517049451997686, 115.74776558751192 39.517419323370106, 115.74758540114544 39.517819181736904, 115.74736518145801 39.5182790194882, 115.74717499103302 39.518678878754315, 115.74715496672844 39.518738857239555, 115.747014825374 39.51903875146428, 115.74701482087733 39.51905874339336, 115.74698480150745 39.51907873802042, 115.74693477222208 39.51909873534543, 115.74689475508897 39.51908874297817, 115.74669468111472 39.5189987990824))",0.398
"MULTILINESTRING ((115.74173891212115 39.533023689518785, 115.74183894910821 39.53306366348446, 115.74199900954669 39.53312362398324, 115.74205903299797 39.53314360961704, 115.74208904427405 39.53315360288362, 115.74226911103074 39.53322355664895, 115.74321950557578 39.533423382410355))",0.135
"MULTILINESTRING ((115.7438612303116 39.527575655019575, 115.74361112615259 39.52751570351403))",0.022
"MULTILINESTRING ((115.734985757187 39.53304435593944, 115.73523582897042 39.533234254984016, 115.73559594269864 39.53346412709496, 115.73590605412117 39.53360404092089, 115.73636625699724 39.533653974878206, 115.73696651039619 39.533763871132905, 115.73746673670064 39.53379380866452))",0.237
"MULTILINESTRING ((115.74385695313593 39.545118644736924, 115.74382693736334 39.54512864339943, 115.7436168224584 39.54520863269946, 115.7430565187434 39.54540860864761, 115.74251623213843 39.54557859490347, 115.74194593245888 39.54574858385728, 115.74069523269884 39.54629848961088, 115.73843394586993 39.54739827593693, 115.73711319431857 39.54804814763117))",0.665
"MULTILINESTRING ((115.7491433722689 39.52898456441323, 115.74943363295584 39.52848473470988, 115.74946366221832 39.52842475532532, 115.74983400663416 39.52774499016629, 115.74994411063221 39.527535063219716))",0.175
"MULTILINESTRING ((115.74440380029522 39.51809938710407, 115.74416349694785 39.518869104252815, 115.74403344418816 39.518829132985154, 115.74386331583946 39.51901907429788))",0.126
"MULTILINESTRING ((115.74153025052065 39.527076087018926, 115.7415805397102 39.52597652192603))",0.122
"MULTILINESTRING ((115.73866614092968 39.53863175567819, 115.738766222883 39.538481805418144, 115.738836281869 39.538371842613635, 115.73901642956467 39.5381019326852, 115.73910649936556 39.537981971218194, 115.73919656466978 39.53788200257952, 115.73932665879829 39.53774204558613, 115.73935668176546 39.53770205813067))",0.119
"MULTILINESTRING ((115.74440380029522 39.51809938710407, 115.7443938007334 39.518079396074306, 115.74440381288571 39.5180494072814, 115.74450390922811 39.51784947719869, 115.74462402627786 39.51760956145915, 115.74471410327328 39.517469608063024, 115.74515446980296 39.51683981553212, 115.74552477644737 39.51631998670506, 115.74583503176132 39.51589012695482, 115.74590509074744 39.515790160114854, 115.74599515874966 39.51569019147619, 115.7460351857752 39.51566019908595, 115.74607520740494 39.51565019952412))",0.310
"MULTILINESTRING ((115.73143038370527 39.54910829184145, 115.73139040524302 39.54893836404154, 115.7312204576581 39.54837860441633, 115.73107050739804 39.5478688228152))",0.141
"MULTILINESTRING ((115.80407534869846 39.53371351359497, 115.80402561798792 39.53243394829521, 115.80398569348506 39.53187411312697, 115.80396568986475 39.531734139945755))",0.220
"MULTILINESTRING ((115.81115455284043 39.5239074624865, 115.81122478989221 39.52365765870106, 115.81132516952107 39.52315799537231, 115.81142564627658 39.52233845668152, 115.81150606455333 39.52155887396993))",0.263
"MULTILINESTRING ((115.77337234026142 39.53788858561693, 115.7734423731671 39.537888578422326, 115.77352241013114 39.53788857032845))",0.013
"MULTILINESTRING ((115.77072105433331 39.5381187581014, 115.77068112533367 39.53778889396949, 115.77066118106872 39.5375489917198, 115.77064123950163 39.53729909350556, 115.77063127501346 39.53714915493674, 115.77063133976459 39.53690925088841, 115.77055181451465 39.53502001358991))",0.344
"MULTILINESTRING ((115.77750349389123 39.54060708597544, 115.77769383899955 39.53967743878997, 115.77780404012447 39.53913764321488, 115.77786414271611 39.53886774497761, 115.77791419628316 39.53875778397174, 115.77796423815913 39.538687806823994, 115.77800427058072 39.53863782340403, 115.7780542962688 39.53862782204357, 115.77809432059644 39.5386078265172, 115.77846448065134 39.53864777350317, 115.77853451265763 39.53864776630855, 115.77856453202763 39.53862777168149, 115.77859455679346 39.53858778422603, 115.77860478118578 39.53779809853064))",0.367
"MULTILINESTRING ((115.82190367171711 39.54252572121228, 115.82035012705683 39.542443513284724, 115.82005946527215 39.54242310227155, 115.81964852725775 39.542402517689226, 115.81932779304327 39.54239205947321, 115.81927767832222 39.542391987527395, 115.81943847890273 39.540952766484196, 115.81946864666077 39.54062293562716, 115.81951887289769 39.54025314789164, 115.81953900961764 39.539953291438465))",0.497
"MULTILINESTRING ((115.78751772546275 39.54187557882212, 115.78769778502489 39.541955529451315, 115.78800789195077 39.54207545044889))",0.048
"MULTILINESTRING ((115.79839870653518 39.52179252862937, 115.79836886792896 39.521202766721395, 115.79834897492525 39.520812924104234, 115.79834906665621 39.52050304830408, 115.79832910530399 39.52034311377078, 115.79827912817926 39.52018318283468, 115.79812915723483 39.51984333263079, 115.79800914900306 39.51967341202544, 115.79766912073342 39.519213628233445, 115.79740909615293 39.5188737888214, 115.79700906151903 39.51833404270899, 115.79643900465635 39.51759439439286, 115.79626898782362 39.51737449936074, 115.79600896594103 39.517024664883415, 115.79566893407411 39.51657487795532))",0.640
"MULTILINESTRING ((115.76937491042385 39.521485539653, 115.76934493602005 39.52133560288287, 115.76931498949523 39.521085705567955, 115.76928504207115 39.52083580825303))",0.073
"MULTILINESTRING ((115.75195546327404 39.52593550114958, 115.75210552415068 39.5259754706186))",0.014
"MULTILINESTRING ((115.79610942291161 39.54944170020157, 115.79589902921693 39.550451317801354, 115.79587901480478 39.55047131152909, 115.79582898911667 39.550481312889545, 115.795768962068 39.55048131828547, 115.79435839342523 39.55025154959659, 115.79292781126956 39.55004177553475))",0.374
"MULTILINESTRING ((115.76096438319973 39.54643640874053, 115.76102444442267 39.54630645490619, 115.76122461102705 39.546016551250084, 115.76128465696137 39.545946573203025))",0.061
"MULTILINESTRING ((115.79863033951858 39.55021115115098, 115.79610942291161 39.54944170020157))",0.232
"MULTILINESTRING ((115.81674941065683 39.55059520393277, 115.81642868813356 39.55054475916059, 115.81627835206439 39.550514552731684))",0.041
"MULTILINESTRING ((115.76137600559821 39.54093856528978, 115.76144620757645 39.540288817701956, 115.76151633131371 39.5399389508491))",0.112
"MULTILINESTRING ((115.80628122469886 39.53101773370856, 115.8081255786326 39.530630521608444))",0.164
"MULTILINESTRING ((115.79311412471712 39.528770256869, 115.79328420540186 39.52877023978187, 115.7933842459862 39.52879022181838, 115.7934942978236 39.52879021102656, 115.79380443262856 39.52883016430775, 115.79390447321293 39.528850146344325, 115.79409454312872 39.52892009921034, 115.79426459683371 39.52901004670344, 115.79451467401306 39.52914996592535))",0.131
"MULTILINESTRING ((115.78318091127007 39.52360331446848, 115.7830806395599 39.524393008257825, 115.7830706094212 39.52448297373733, 115.78298050184878 39.524712890814364, 115.78296046135632 39.52482284912227))",0.137
"MULTILINESTRING ((115.771520914059 39.53999792748956, 115.77174099345211 39.54007787362219, 115.77198108455947 39.5401478219916, 115.77231119510566 39.540297729084116))",0.076
"MULTILINESTRING ((115.81077309280408 39.525856162059355, 115.81170521042715 39.52593745807432, 115.81178539398081 39.52593757228828, 115.81182548935486 39.52592763298099, 115.81184553884066 39.52591766579477, 115.81188565489913 39.5258377538364, 115.8119059112289 39.525138054304854))",0.180
"MULTILINESTRING ((115.79483563845407 39.526391037443524, 115.79479547473147 39.52688084510201, 115.79479531555148 39.52742062988528))",0.115
"MULTILINESTRING ((115.75856698487848 39.5321623530373, 115.75866706593241 39.53203239470642, 115.75884721722537 39.53177248074254, 115.75899733925587 39.531572545263906))",0.075
"MULTILINESTRING ((115.79340572719263 39.523772225135154, 115.79340496816486 39.526361190743486))",0.288
"MULTILINESTRING ((115.82190386417209 39.541885963293765, 115.82041046347217 39.541783850671415))",0.128
"MULTILINESTRING ((115.77592041369621 39.54914383304868, 115.77589037544054 39.54923380032689, 115.77578019949668 39.54969362728635, 115.77567000376769 39.5502234268969, 115.77559988992299 39.55052331392706, 115.77558984629444 39.55066325922932, 115.7755898301066 39.55072323501653, 115.7756198045105 39.550863175822165, 115.77563980543279 39.550893161917166))",0.198
"MULTILINESTRING ((115.7884962705865 39.513786706218546, 115.78848630879622 39.5136367667504, 115.78855663128356 39.51263715950432, 115.78857670415164 39.512417244687136))",0.152
"MULTILINESTRING ((115.81244970069315 39.5500291922207, 115.81102650556886 39.54977722826374))",0.125
"MULTILINESTRING ((115.75298409523987 39.533272467177795, 115.75312419612477 39.53313250838571, 115.7532543019446 39.53295256753413, 115.75355453881093 39.532572689405264, 115.75374470315558 39.53227279068388, 115.75398490937607 39.53190291391549, 115.75420511377501 39.53150305195142, 115.75440532444624 39.53104321599877, 115.75461560122903 39.530343474199135))",0.357
"MULTILINESTRING ((115.76054593224899 39.539759119714816, 115.7606060150556 39.539549197264826, 115.7606860745028 39.539459225490084, 115.76086618622558 39.53934925099436, 115.76109630025417 39.539319239718346, 115.76121635794858 39.539309232062585, 115.76132641158472 39.5392992253062))",0.096
"MULTILINESTRING ((115.80575833098224 39.53666476209627, 115.8057582284596 39.53700462848797, 115.80575820147989 39.53709459306822))",0.048
"MULTILINESTRING ((115.81150606455333 39.52155887396993, 115.81153621522422 39.52128902069882, 115.81155633036042 39.52105913869538))",0.056
"MULTILINESTRING ((115.83038134682181 39.54854571553961, 115.83050161405833 39.548575878801))",0.011
"MULTILINESTRING ((115.81792278311 39.548337766202174, 115.81875463082167 39.548548889247066, 115.81992723525379 39.548850471499286, 115.8202279019962 39.54893087628615, 115.82046843646924 39.54899120190971))",0.230
"MULTILINESTRING ((115.77530258304786 39.54024744978718, 115.77609290995987 39.540377319085174))",0.069
"MULTILINESTRING ((115.78857670415164 39.512417244687136, 115.78858674688094 39.512287296248765, 115.78867725824898 39.51066793380512))",0.194
"MULTILINESTRING ((115.77048624944086 39.518496623047774, 115.7704262367814 39.51843665265647, 115.77031619753451 39.51838668362562, 115.77009610465154 39.51833672538662, 115.76988599604192 39.518366734864, 115.76968588339685 39.518426730436325, 115.76962584915371 39.518446728660656))",0.081
"MULTILINESTRING ((115.80564975043569 39.53109679940493, 115.80559962941948 39.53111672028753, 115.8055795736385 39.53114667940289, 115.8055795592493 39.53119666012494, 115.80558954262335 39.53132662295242, 115.80562955076323 39.53160657021421, 115.80562954177003 39.531636558107806))",0.063
"MULTILINESTRING ((115.81777046493504 39.521537777673366, 115.81777054587405 39.5212678812348))",0.030
"MULTILINESTRING ((115.80579879507845 39.53542530835846, 115.80396456391361 39.535482655427394, 115.80246109440407 39.53553048047449, 115.80240096303406 39.53551040221048, 115.80235085370897 39.53549033833564, 115.80232079926554 39.53544031444612, 115.80228077044126 39.53523034073479, 115.8022208306269 39.53457051714279))",0.399
"MULTILINESTRING ((115.78266085221664 39.52293363340756, 115.7828410089055 39.52268371540824, 115.7830611989152 39.522383813089576, 115.78321132993904 39.52217388254572, 115.78345155774322 39.521774017883686, 115.78362172386358 39.521474120960995, 115.78367177653136 39.52137415591967, 115.78380194620297 39.52099429487788, 115.7839521689575 39.52046449167, 115.78403228955858 39.520174598805745, 115.78405232105784 39.520094629290774))",0.340
"MULTILINESTRING ((115.79590449619559 39.53196870292046, 115.79352337920068 39.531968937643526))",0.204
"MULTILINESTRING ((115.76096438319973 39.54643640874053, 115.7611844464052 39.54657633155971, 115.76120444822675 39.54660631765467, 115.76121444239266 39.54664630061353, 115.76106419445706 39.54733603925404, 115.76104415396458 39.54745599352651, 115.76105414813048 39.547495976485386, 115.7610841540105 39.54752596168101, 115.76112416664706 39.547545950012825, 115.76166438490348 39.547645855698924, 115.76173441061464 39.54766584133273, 115.76180443452711 39.54769582203181, 115.76185444402745 39.54774579735789, 115.7618744377552 39.54780577134653, 115.76190438338062 39.54806566462594, 115.7619143721506 39.548125639513906, 115.76191435866076 39.54817561933664, 115.76188433209632 39.54822560185727, 115.7617942757853 39.548285587537066, 115.76176426001268 39.54829558619958))",0.272
"MULTILINESTRING ((115.79220336059666 39.52991988811948, 115.79267356932985 39.529959825212885, 115.79359398137717 39.53002970613319))",0.120
"MULTILINESTRING ((115.77991539198183 39.53777797619984, 115.7799753048165 39.53818780624943, 115.78002516323079 39.53877756545944, 115.78009497400387 39.53956724306102, 115.7801049285996 39.53974717042275, 115.78008480986614 39.54013701663719, 115.78007467990268 39.54058683773958))",0.312
"MULTILINESTRING ((115.83095095402336 39.554224446828044, 115.83060120138441 39.55071523374833))",0.391
"MULTILINESTRING ((115.76996068473784 39.53818880629559, 115.77010075504586 39.53816879997731, 115.77023081769813 39.5381587914223))",0.023
"MULTILINESTRING ((115.81362852033999 39.529638769041085, 115.81365887155972 39.52869917535377))",0.104
"MULTILINESTRING ((115.784296592214 39.54067637963842, 115.78423649321964 39.54092628594653, 115.78413629435455 39.5414660806223, 115.78408616884167 39.54182594164112, 115.7840860303461 39.54231574570233, 115.78400582880602 39.54289552243765))",0.248
"MULTILINESTRING ((115.784296592214 39.54067637963842, 115.78502687049377 39.54087622698349))",0.066
"MULTILINESTRING ((115.76575794417386 39.54120801926191, 115.76711865080517 39.54089800766413))",0.122
"MULTILINESTRING ((115.7613672677852 39.536090503601024, 115.76136743505913 39.53545075917235))",0.071
"MULTILINESTRING ((115.76668905545557 39.53863895295251, 115.76676909511774 39.53862894889409))",0.007
"MULTILINESTRING ((115.8119059112289 39.525138054304854, 115.81193611226185 39.52469826693854, 115.81196622875848 39.52453837197542, 115.8119963164769 39.52447843845628, 115.81205649011495 39.52435857051873, 115.81209660977085 39.52426866259581, 115.81212672986476 39.524098770768745))",0.118
"MULTILINESTRING ((115.81150606455333 39.52155887396993, 115.81277897127256 39.52162065739454, 115.81325005054941 39.52163132245466, 115.813490605707 39.52162166733314))",0.170
"MULTILINESTRING ((115.76676909511774 39.53862894889409, 115.76700921590269 39.53858894075422, 115.76827984733711 39.53841888255254))",0.132
"MULTILINESTRING ((115.81343913031164 39.52614984646538, 115.817718950869 39.52619592592838))",0.367
"MULTILINESTRING ((115.79847587286325 39.531418673959784, 115.79874635835777 39.53022912540093))",0.134
"MULTILINESTRING ((115.77537561429325 39.529351796275485, 115.77530596629742 39.52795236303825))",0.156
"MULTILINESTRING ((115.8127564774295 39.52976747371709, 115.81278654716152 39.52976751688454, 115.81306720398834 39.529727933224656))",0.027
"MULTILINESTRING ((115.80703422794727 39.52677047670328, 115.80391704283727 39.52684600446667, 115.80377669913537 39.52691577656895))",0.281
"MULTILINESTRING ((115.79479531555148 39.52742062988528, 115.79478510734691 39.528110355036, 115.79479486229307 39.52896001472004, 115.79479477056223 39.52926989052015))",0.206
"MULTILINESTRING ((115.75983518544548 39.54137854331233, 115.76027547013689 39.54105862658158, 115.76033551607124 39.540988648534515, 115.7603655480317 39.54091867408472, 115.76037556827792 39.54085869649886))",0.076
"MULTILINESTRING ((115.76276687459165 39.54005877741783, 115.76280691420777 39.53997880520491, 115.7628869880441 39.53983885360744, 115.76303711457126 39.5396189261997, 115.76317723703994 39.53939900059061))",0.081
"MULTILINESTRING ((115.7698206144298 39.53820881261378, 115.76986063336165 39.53820880811719, 115.76996068473784 39.53818880629559))",0.012
"MULTILINESTRING ((115.80568730162769 39.539553522104555, 115.8037126844929 39.53982057668544, 115.80359239657196 39.539860387873794, 115.80348214328637 39.53986022959311, 115.8034220227082 39.53980016657164, 115.80336192101595 39.5396801277629, 115.80317158220281 39.53934998484113, 115.80284091317766 39.53904962926419, 115.80279081284584 39.53899957659639, 115.80272065763234 39.5389794839432, 115.80264046688411 39.538999360759085, 115.80247005165167 39.53907908385981, 115.8023898582054 39.53910895664024, 115.8022996481103 39.539118823102406, 115.80223952843153 39.539058760980204, 115.80212932011203 39.53890866143275, 115.80132783261342 39.537727980189345, 115.80089701958184 39.53713759684979, 115.80076676177669 39.53699746538791, 115.80075676311424 39.536917483282416, 115.80081692506108 39.53683760100165, 115.80088712524072 39.53670775328737, 115.80093729122302 39.53653789293662, 115.80091732357572 39.53627796818084, 115.80052690269451 39.53468804234647))",0.885
"MULTILINESTRING ((115.80564975043569 39.53109679940493, 115.80389570282442 39.531154268781634))",0.150
"MULTILINESTRING ((115.82259249214987 39.551743238886644, 115.82340493968627 39.549805145918036, 115.82341498061692 39.5497451836206))",0.233
"MULTILINESTRING ((115.77973581535572 39.53596871651024, 115.77991539198183 39.53777797619984))",0.202
"MULTILINESTRING ((115.79927180524965 39.546302656169864, 115.79922190097 39.54590281938686, 115.79917198230123 39.545552964225166, 115.79890233137758 39.54396362295004, 115.79854259806258 39.542504238207215, 115.79833277813532 39.54157462969262, 115.79828283518475 39.54130474224726, 115.79822293853783 39.5408649234047, 115.79830333073416 39.539675391033676, 115.79825366747286 39.538465879324065, 115.79854454059819 39.53599683920992, 115.79859474884859 39.535377082213735, 115.79856489585337 39.53483730012843))",1.283
"MULTILINESTRING ((115.8041052016938 39.534433271605366, 115.8022208306269 39.53457051714279))",0.162
"MULTILINESTRING ((115.77023351746288 39.52816278551125, 115.77149412865117 39.52810268381893, 115.77282477184576 39.52804257493198, 115.77422544614751 39.5279924548151, 115.77530596629742 39.52795236303825))",0.436
"MULTILINESTRING ((115.78488557890637 39.545184520076745, 115.78479543266315 39.54555438065738, 115.78477541465372 39.545584371248985, 115.78476540519932 39.5456043640774, 115.78470537185547 39.54562436230174, 115.78422514827207 39.54564440189487, 115.78420513655783 39.545654399658076, 115.78420512756463 39.54568438755165, 115.78420511317552 39.54573436827371, 115.78423499674771 39.546194180844, 115.78432496312666 39.546454068727535, 115.78445491156491 39.54684389965348, 115.78453486848944 39.54712377946613, 115.78455486311645 39.54717375749016, 115.784584856406 39.547243726543975, 115.78477486876523 39.54750360363562, 115.78479486609022 39.547543585695166, 115.78479485799643 39.54757357358882, 115.78479485170112 39.54759356641722, 115.78478484224671 39.54761355924558, 115.78475482557484 39.54762355790814, 115.78459473905605 39.547673553918635, 115.78457472374453 39.54769354764636, 115.78456471429024 39.547713541374094, 115.78456470529693 39.54774352926768, 115.78461470490481 39.54782349248747, 115.78461469950891 39.5478434844165, 115.78460468915512 39.54786347724491, 115.78453464096094 39.54792346022675, 115.78444458824718 39.54796345307814, 115.7844145724746 39.54797345263996, 115.78439455446518 39.54800344233224, 115.78439454637122 39.54803343022588, 115.78440453963788 39.54807341318474, 115.78456449485566 39.54848323334182, 115.78471445141086 39.548873062469134))",0.489
"MULTILINESTRING ((115.75769381241957 39.54289815025667, 115.75806405161472 39.54262822054315))",0.044
"MULTILINESTRING ((115.76137776377288 39.53421125327387, 115.76402896606396 39.53433094044769, 115.76425907289797 39.534330917065326))",0.247
"MULTILINESTRING ((115.82156848269939 39.5239022778949, 115.82162862396196 39.523892367365946, 115.82199949088384 39.523842913646625, 115.82259086797421 39.52378377692688))",0.088
"MULTILINESTRING ((115.80396568986475 39.531734139945755, 115.80562954177003 39.531636558107806))",0.143
"MULTILINESTRING ((115.78867725824898 39.51066793380512, 115.78909749255524 39.51056793189156, 115.7894677020729 39.510467935373924, 115.78982790483407 39.51037793482082, 115.79013807651107 39.51030793159277, 115.79044824549021 39.510247925228555, 115.79076841403115 39.510207908994786, 115.79093850280971 39.51018789997863, 115.79111859384807 39.51017788602763, 115.79155881828488 39.51014785406722, 115.7917789255571 39.51014783158416, 115.79190898910859 39.51014781899369, 115.79203904996223 39.510157802367694, 115.7921991256892 39.51016778214445, 115.79233918790328 39.51018775968436, 115.79249925823423 39.5102177322895, 115.7926993438997 39.5102576963626, 115.79306949855855 39.510347623171306))",0.387
"MULTILINESTRING ((115.80851608315082 39.53194056763024, 115.80850607819299 39.53188057655452, 115.80846610602602 39.53148067591958, 115.8084360758643 39.53135068341443, 115.80840604030651 39.53124068373769, 115.80833595074364 39.53100067716667, 115.8082859079683 39.530760700273234, 115.80824586115763 39.530610701449866))",0.150
